ICAO,Name,Country,Latitude,Longitude
KTCY,Tracy Municipal Airport,United States,37.68899918,-121.4420013
YMNA,Mount Allan Airport,Australia,-22.27499962,132.2169952
YEVP,Everard Park Airport,Australia,-27.01670074,132.7169952
YWBI,Warrabri Airport,Australia,-21,134.3970032
EDLK,Krefeld-Egelsberg Airport,Germany,51.38499832,6.587778091
HCMB,Baidoa Airport,Somalia,3.102220058,43.62860107
YAMJ,Ampilatwatja Airport,Australia,-21.65500069,135.2299957
YKCS,Kings Creek Airport,Australia,-24.42329979,131.8350067
YHTS,Harts Range Airport,Australia,-22.98500061,134.9179993
YELL,Elliott Airport,Australia,-17.52742958,133.529892
YPAY,Papunya Airport,Australia,-23.24670029,131.9029999
YFRG,Fregon Airport,Australia,-26.77499962,132.0169983
YLBG,Mount Liebig Airport,Australia,-23.24329948,131.2599945
KTZR,Bolton Field,United States,39.90119934,-83.13690186
EDWZ,Baltrum Airport,Germany,53.72472382,7.373332977
KBVS,Skagit Regional Airport,United States,48.47090149,-122.4209976
YGDI,Goondiwindi Airport,Australia,-28.52140045,150.3200073
UKOE,Liman Airfield,Ukraine,46.57851,30.703053
LFPL,Lognes Emerainville Airport,France,48.821028,2.625967
KAPT,Marion County Brown Field,United States,35.060699,-85.585297
KGZH,Evergreen Regional Airport/Middleton Field,United States,31.4158,-87.043999
KDCU,Pryor Field Regional Airport,United States,34.65269852,-86.94539642
KGLW,Glasgow Municipal Airport,United States,37.03179932,-85.9536972
KLZD,Danielson Airport,United States,41.81969833,-71.90100098
YDVR,Docker River Airport,Australia,-24.86000061,129.0700073
KFIG,Clearfield Lawrence Airport,United States,41.04859924,-78.4131012
KRZL,Jasper County Airport,United States,40.94789886,-87.18260193
YTIT,Ti Tree Airport,Australia,-22.13170052,133.4199982
USDA,Sabetta International Airport,Russia,71.219167,72.052222
ZBAL,Alxa Left Banner Bayanhot Airport,China,38.74831,105.58858
SVFT,El Fuentero Airport,Denmark,7.099999905,-69.58333588
EGCS,Sturgate Airfield,Hungary,53.3810997,-0.685277998
AYSE,Simberi Airport,Papua New Guinea,-2.662222222,151.9977778
AYBU,Bulolo Airport,Papua New Guinea,-7.216286671,146.6495419
YKNT,Kintore Airport,Australia,-23.26499939,129.3869934
KTBR,Statesboro Bulloch County Airport,United States,32.48270035,-81.73690033
